# nmeas_total =          700
# k  T  Q  count
   1     0.200000    -64          338
   1     0.200000    -63            0
   1     0.200000    -62            6
   1     0.200000    -61            0
   1     0.200000    -60            0
   1     0.200000    -59            0
   1     0.200000    -58           16
   1     0.200000    -57            0
   1     0.200000    -56            0
   1     0.200000    -55            0
   1     0.200000    -54            0
   1     0.200000    -53            0
   1     0.200000    -52            0
   1     0.200000    -51            0
   1     0.200000    -50            0
   1     0.200000    -49            0
   1     0.200000    -48            0
   1     0.200000    -47            0
   1     0.200000    -46            0
   1     0.200000    -45            0
   1     0.200000    -44            0
   1     0.200000    -43            0
   1     0.200000    -42            0
   1     0.200000    -41            0
   1     0.200000    -40            0
   1     0.200000    -39            0
   1     0.200000    -38            0
   1     0.200000    -37            0
   1     0.200000    -36            0
   1     0.200000    -35            0
   1     0.200000    -34            0
   1     0.200000    -33            0
   1     0.200000    -32            0
   1     0.200000    -31            0
   1     0.200000    -30            0
   1     0.200000    -29            0
   1     0.200000    -28            0
   1     0.200000    -27            0
   1     0.200000    -26            0
   1     0.200000    -25            0
   1     0.200000    -24            0
   1     0.200000    -23            0
   1     0.200000    -22            0
   1     0.200000    -21            0
   1     0.200000    -20            0
   1     0.200000    -19            0
   1     0.200000    -18            0
   1     0.200000    -17            0
   1     0.200000    -16            0
   1     0.200000    -15            0
   1     0.200000    -14            0
   1     0.200000    -13            0
   1     0.200000    -12            0
   1     0.200000    -11            0
   1     0.200000    -10            0
   1     0.200000     -9            0
   1     0.200000     -8            0
   1     0.200000     -7            0
   1     0.200000     -6            0
   1     0.200000     -5            0
   1     0.200000     -4            0
   1     0.200000     -3            0
   1     0.200000     -2            0
   1     0.200000     -1            0
   1     0.200000      0            0
   1     0.200000      1            0
   1     0.200000      2            0
   1     0.200000      3            0
   1     0.200000      4            0
   1     0.200000      5            0
   1     0.200000      6            0
   1     0.200000      7            0
   1     0.200000      8            0
   1     0.200000      9            0
   1     0.200000     10            0
   1     0.200000     11            0
   1     0.200000     12            0
   1     0.200000     13            0
   1     0.200000     14            0
   1     0.200000     15            0
   1     0.200000     16            0
   1     0.200000     17            0
   1     0.200000     18            0
   1     0.200000     19            0
   1     0.200000     20            0
   1     0.200000     21            0
   1     0.200000     22            0
   1     0.200000     23            0
   1     0.200000     24            0
   1     0.200000     25            0
   1     0.200000     26            0
   1     0.200000     27            0
   1     0.200000     28            0
   1     0.200000     29            0
   1     0.200000     30            0
   1     0.200000     31            0
   1     0.200000     32            0
   1     0.200000     33            0
   1     0.200000     34            0
   1     0.200000     35            0
   1     0.200000     36            0
   1     0.200000     37            0
   1     0.200000     38            0
   1     0.200000     39            0
   1     0.200000     40            0
   1     0.200000     41            0
   1     0.200000     42            0
   1     0.200000     43            0
   1     0.200000     44            0
   1     0.200000     45            0
   1     0.200000     46            0
   1     0.200000     47            0
   1     0.200000     48            0
   1     0.200000     49            0
   1     0.200000     50            0
   1     0.200000     51            0
   1     0.200000     52            0
   1     0.200000     53            0
   1     0.200000     54            0
   1     0.200000     55            0
   1     0.200000     56            0
   1     0.200000     57            0
   1     0.200000     58           18
   1     0.200000     59            0
   1     0.200000     60            0
   1     0.200000     61            0
   1     0.200000     62            3
   1     0.200000     63            0
   1     0.200000     64          319
   2     0.278261    -64          307
   2     0.278261    -63            0
   2     0.278261    -62           10
   2     0.278261    -61            0
   2     0.278261    -60            3
   2     0.278261    -59            0
   2     0.278261    -58           26
   2     0.278261    -57            0
   2     0.278261    -56            4
   2     0.278261    -55            0
   2     0.278261    -54            2
   2     0.278261    -53            0
   2     0.278261    -52            0
   2     0.278261    -51            0
   2     0.278261    -50            0
   2     0.278261    -49            0
   2     0.278261    -48            0
   2     0.278261    -47            0
   2     0.278261    -46            0
   2     0.278261    -45            0
   2     0.278261    -44            0
   2     0.278261    -43            0
   2     0.278261    -42            0
   2     0.278261    -41            0
   2     0.278261    -40            0
   2     0.278261    -39            0
   2     0.278261    -38            0
   2     0.278261    -37            0
   2     0.278261    -36            0
   2     0.278261    -35            0
   2     0.278261    -34            0
   2     0.278261    -33            0
   2     0.278261    -32            0
   2     0.278261    -31            0
   2     0.278261    -30            0
   2     0.278261    -29            0
   2     0.278261    -28            0
   2     0.278261    -27            0
   2     0.278261    -26            0
   2     0.278261    -25            0
   2     0.278261    -24            0
   2     0.278261    -23            0
   2     0.278261    -22            0
   2     0.278261    -21            0
   2     0.278261    -20            0
   2     0.278261    -19            0
   2     0.278261    -18            0
   2     0.278261    -17            0
   2     0.278261    -16            1
   2     0.278261    -15            0
   2     0.278261    -14            0
   2     0.278261    -13            0
   2     0.278261    -12            0
   2     0.278261    -11            0
   2     0.278261    -10            0
   2     0.278261     -9            0
   2     0.278261     -8            0
   2     0.278261     -7            0
   2     0.278261     -6            0
   2     0.278261     -5            0
   2     0.278261     -4            0
   2     0.278261     -3            0
   2     0.278261     -2            0
   2     0.278261     -1            0
   2     0.278261      0            0
   2     0.278261      1            0
   2     0.278261      2            0
   2     0.278261      3            0
   2     0.278261      4            0
   2     0.278261      5            0
   2     0.278261      6            0
   2     0.278261      7            0
   2     0.278261      8            0
   2     0.278261      9            0
   2     0.278261     10            0
   2     0.278261     11            0
   2     0.278261     12            1
   2     0.278261     13            0
   2     0.278261     14            0
   2     0.278261     15            0
   2     0.278261     16            0
   2     0.278261     17            0
   2     0.278261     18            0
   2     0.278261     19            0
   2     0.278261     20            0
   2     0.278261     21            0
   2     0.278261     22            0
   2     0.278261     23            0
   2     0.278261     24            0
   2     0.278261     25            0
   2     0.278261     26            0
   2     0.278261     27            0
   2     0.278261     28            0
   2     0.278261     29            0
   2     0.278261     30            0
   2     0.278261     31            0
   2     0.278261     32            0
   2     0.278261     33            0
   2     0.278261     34            0
   2     0.278261     35            0
   2     0.278261     36            0
   2     0.278261     37            0
   2     0.278261     38            0
   2     0.278261     39            0
   2     0.278261     40            0
   2     0.278261     41            0
   2     0.278261     42            0
   2     0.278261     43            0
   2     0.278261     44            0
   2     0.278261     45            0
   2     0.278261     46            0
   2     0.278261     47            0
   2     0.278261     48            0
   2     0.278261     49            0
   2     0.278261     50            0
   2     0.278261     51            0
   2     0.278261     52            0
   2     0.278261     53            0
   2     0.278261     54            2
   2     0.278261     55            0
   2     0.278261     56            1
   2     0.278261     57            0
   2     0.278261     58           34
   2     0.278261     59            0
   2     0.278261     60            1
   2     0.278261     61            0
   2     0.278261     62           16
   2     0.278261     63            0
   2     0.278261     64          292
   3     0.356522    -64          215
   3     0.356522    -63            0
   3     0.356522    -62           56
   3     0.356522    -61            0
   3     0.356522    -60            9
   3     0.356522    -59            0
   3     0.356522    -58           36
   3     0.356522    -57            0
   3     0.356522    -56           17
   3     0.356522    -55            0
   3     0.356522    -54            2
   3     0.356522    -53            0
   3     0.356522    -52            2
   3     0.356522    -51            0
   3     0.356522    -50            1
   3     0.356522    -49            0
   3     0.356522    -48            1
   3     0.356522    -47            0
   3     0.356522    -46            0
   3     0.356522    -45            0
   3     0.356522    -44            0
   3     0.356522    -43            0
   3     0.356522    -42            0
   3     0.356522    -41            0
   3     0.356522    -40            0
   3     0.356522    -39            0
   3     0.356522    -38            0
   3     0.356522    -37            0
   3     0.356522    -36            0
   3     0.356522    -35            0
   3     0.356522    -34            0
   3     0.356522    -33            0
   3     0.356522    -32            0
   3     0.356522    -31            0
   3     0.356522    -30            0
   3     0.356522    -29            0
   3     0.356522    -28            0
   3     0.356522    -27            0
   3     0.356522    -26            0
   3     0.356522    -25            0
   3     0.356522    -24            0
   3     0.356522    -23            0
   3     0.356522    -22            0
   3     0.356522    -21            0
   3     0.356522    -20            0
   3     0.356522    -19            0
   3     0.356522    -18            1
   3     0.356522    -17            0
   3     0.356522    -16            8
   3     0.356522    -15            0
   3     0.356522    -14            3
   3     0.356522    -13            0
   3     0.356522    -12            0
   3     0.356522    -11            0
   3     0.356522    -10            0
   3     0.356522     -9            0
   3     0.356522     -8            0
   3     0.356522     -7            0
   3     0.356522     -6            0
   3     0.356522     -5            0
   3     0.356522     -4            0
   3     0.356522     -3            0
   3     0.356522     -2            0
   3     0.356522     -1            0
   3     0.356522      0            0
   3     0.356522      1            0
   3     0.356522      2            0
   3     0.356522      3            0
   3     0.356522      4            0
   3     0.356522      5            0
   3     0.356522      6            0
   3     0.356522      7            0
   3     0.356522      8            0
   3     0.356522      9            0
   3     0.356522     10            0
   3     0.356522     11            0
   3     0.356522     12            0
   3     0.356522     13            0
   3     0.356522     14            6
   3     0.356522     15            0
   3     0.356522     16            3
   3     0.356522     17            0
   3     0.356522     18            1
   3     0.356522     19            0
   3     0.356522     20            0
   3     0.356522     21            0
   3     0.356522     22            0
   3     0.356522     23            0
   3     0.356522     24            0
   3     0.356522     25            0
   3     0.356522     26            0
   3     0.356522     27            0
   3     0.356522     28            0
   3     0.356522     29            0
   3     0.356522     30            0
   3     0.356522     31            0
   3     0.356522     32            0
   3     0.356522     33            0
   3     0.356522     34            0
   3     0.356522     35            0
   3     0.356522     36            0
   3     0.356522     37            0
   3     0.356522     38            0
   3     0.356522     39            0
   3     0.356522     40            0
   3     0.356522     41            0
   3     0.356522     42            0
   3     0.356522     43            0
   3     0.356522     44            0
   3     0.356522     45            0
   3     0.356522     46            0
   3     0.356522     47            0
   3     0.356522     48            1
   3     0.356522     49            0
   3     0.356522     50            1
   3     0.356522     51            0
   3     0.356522     52            2
   3     0.356522     53            0
   3     0.356522     54            6
   3     0.356522     55            0
   3     0.356522     56           11
   3     0.356522     57            0
   3     0.356522     58           48
   3     0.356522     59            0
   3     0.356522     60            6
   3     0.356522     61            0
   3     0.356522     62           40
   3     0.356522     63            0
   3     0.356522     64          224
   4     0.434783    -64          148
   4     0.434783    -63            0
   4     0.434783    -62           64
   4     0.434783    -61            0
   4     0.434783    -60           14
   4     0.434783    -59            0
   4     0.434783    -58           43
   4     0.434783    -57            0
   4     0.434783    -56           23
   4     0.434783    -55            0
   4     0.434783    -54           15
   4     0.434783    -53            0
   4     0.434783    -52            7
   4     0.434783    -51            0
   4     0.434783    -50            5
   4     0.434783    -49            0
   4     0.434783    -48            1
   4     0.434783    -47            0
   4     0.434783    -46            0
   4     0.434783    -45            0
   4     0.434783    -44            3
   4     0.434783    -43            0
   4     0.434783    -42            0
   4     0.434783    -41            0
   4     0.434783    -40            0
   4     0.434783    -39            0
   4     0.434783    -38            0
   4     0.434783    -37            0
   4     0.434783    -36            0
   4     0.434783    -35            0
   4     0.434783    -34            0
   4     0.434783    -33            0
   4     0.434783    -32            0
   4     0.434783    -31            0
   4     0.434783    -30            0
   4     0.434783    -29            0
   4     0.434783    -28            0
   4     0.434783    -27            0
   4     0.434783    -26            0
   4     0.434783    -25            0
   4     0.434783    -24            0
   4     0.434783    -23            0
   4     0.434783    -22            1
   4     0.434783    -21            0
   4     0.434783    -20            3
   4     0.434783    -19            0
   4     0.434783    -18            3
   4     0.434783    -17            0
   4     0.434783    -16           11
   4     0.434783    -15            0
   4     0.434783    -14            4
   4     0.434783    -13            0
   4     0.434783    -12            0
   4     0.434783    -11            0
   4     0.434783    -10            2
   4     0.434783     -9            0
   4     0.434783     -8            1
   4     0.434783     -7            0
   4     0.434783     -6            1
   4     0.434783     -5            0
   4     0.434783     -4            1
   4     0.434783     -3            0
   4     0.434783     -2            0
   4     0.434783     -1            0
   4     0.434783      0            0
   4     0.434783      1            0
   4     0.434783      2            0
   4     0.434783      3            0
   4     0.434783      4            0
   4     0.434783      5            0
   4     0.434783      6            1
   4     0.434783      7            0
   4     0.434783      8            2
   4     0.434783      9            0
   4     0.434783     10            0
   4     0.434783     11            0
   4     0.434783     12            2
   4     0.434783     13            0
   4     0.434783     14            8
   4     0.434783     15            0
   4     0.434783     16           11
   4     0.434783     17            0
   4     0.434783     18           12
   4     0.434783     19            0
   4     0.434783     20            2
